2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph ": glyph(frame 91, advance 81px, offset 48px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph #: glyph(frame 77, advance 113px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph $: glyph(frame 78, advance 97px, offset -16px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph %: glyph(frame 79, advance 113px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph &: glyph(frame 81, advance 97px, offset -16px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph ': glyph(frame 43, advance 49px, offset 48px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph (: glyph(frame 83, advance 65px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph ): glyph(frame 84, advance 65px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph *: glyph(frame 82, advance 113px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph +: glyph(frame 86, advance 113px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph ,: glyph(frame 44, advance 65px, offset -16px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph -: glyph(frame 37, advance 81px, offset 32px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph .: glyph(frame 45, advance 49px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph /: glyph(frame 46, advance 81px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph 0: glyph(frame 36, advance 97px, offset 0px)
2026.09.20@14:50:04.546: [Test Scene 1] [Information] Glyph 1: glyph(frame 27, advance 81px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph 2: glyph(frame 28, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph 3: glyph(frame 29, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph 4: glyph(frame 30, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph 5: glyph(frame 31, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph 6: glyph(frame 32, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph 7: glyph(frame 33, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph 8: glyph(frame 34, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph 9: glyph(frame 35, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph :: glyph(frame 90, advance 49px, offset 16px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph ;: glyph(frame 42, advance 65px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph <: glyph(frame 92, advance 81px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph =: glyph(frame 38, advance 81px, offset 16px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph >: glyph(frame 93, advance 81px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph ?: glyph(frame 94, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph @: glyph(frame 76, advance 113px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph A: glyph(frame 48, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph B: glyph(frame 49, advance 97px, offset 0px)
